epoch,step,min,max,mean,std
1,1000,-2.481562852859497,0.8003822565078735,-0.8405902981758118,1.64097261428833
2,2000,-0.9129045605659485,0.0632936954498291,-0.4248054325580597,0.4880991280078888
3,3000,-3.999351978302002,0.6661728620529175,-1.6665894985198975,2.3327622413635254
4,4000,-5.508073329925537,6.676277160644531,0.5841019153594971,6.092175483703613
5,5000,-1.9456000328063965,-1.657428503036499,-1.8015142679214478,0.14408576488494873
6,6000,0.9307185411453247,5.950671195983887,3.440694808959961,2.509976387023926
7,7000,-0.5477389097213745,4.425321102142334,1.938791036605835,2.486530065536499
8,8000,-7.0378737449646,3.6611080169677734,-1.688382863998413,5.349491119384766
9,9000,-1.1458743810653687,1.3951308727264404,0.12462824583053589,1.2705025672912598
10,10000,1.2235289812088013,4.361969947814941,2.7927494049072266,1.5692204236984253
11,11000,-6.412519454956055,-3.850752115249634,-5.131635665893555,1.2808836698532104
12,12000,-5.887228965759277,-3.395174503326416,-4.641201972961426,1.2460272312164307
13,13000,-2.5112411975860596,-0.006688356399536133,-1.2589647769927979,1.2522764205932617
14,14000,-5.483219623565674,-1.8679389953613281,-3.675579309463501,1.8076403141021729
15,15000,-8.832784652709961,7.932832717895508,-0.44997596740722656,8.382808685302734
16,16000,3.1226587295532227,4.589138984680176,3.855898857116699,0.7332401275634766
17,17000,1.575361967086792,2.912874221801758,2.2441182136535645,0.6687561273574829
18,18000,-2.0661141872406006,0.8665167689323425,-0.5997986793518066,1.466315507888794
19,19000,0.5321616530418396,9.727927207946777,5.130044460296631,4.5978827476501465
20,20000,2.2510929107666016,2.3695311546325684,2.310312032699585,0.0592191219329834
21,21000,0.44863152503967285,5.096430778503418,2.772531032562256,2.323899507522583
22,22000,2.525411367416382,4.164656162261963,3.345033645629883,0.8196223974227905
23,23000,-6.505178928375244,6.341896057128906,-0.08164143562316895,6.423537254333496
24,24000,3.858652353286743,7.843691825866699,5.851171970367432,1.992519736289978
25,25000,-1.2446801662445068,3.3965446949005127,1.075932264328003,2.3206124305725098
26,26000,-0.8293607234954834,7.811725616455078,3.491182327270508,4.32054328918457
27,27000,-5.581938743591309,-4.32474946975708,-4.953344345092773,0.6285946369171143
28,28000,-7.616580963134766,3.782221555709839,-1.9171797037124634,5.699401378631592
29,29000,3.7486562728881836,4.724804878234863,4.236730575561523,0.48807430267333984
30,30000,2.654965877532959,7.881434917449951,5.268200397491455,2.613234519958496
